0.69,85.164,257.06,404.17,78.357,1417.8,3.2125
0.695,86.447,259.08,404.37,79.592,1418.1,3.2111
0.7,87.739,261.11,404.57,80.838,1418.3,3.2098
0.705,89.041,263.13,404.77,82.091,1418.6,3.2084
0.71,90.354,265.16,404.97,83.357,1418.8,3.2071
0.715,91.676,267.18,405.17,84.633,1419,3.2057
0.72,93.009,269.21,405.37,85.917,1419.3,3.2044
0.725,94.352,271.24,405.57,87.214,1419.5,3.203
0.73,95.704,273.27,405.77,88.521,1419.8,3.2017
0.735,97.067,275.29,405.97,89.836,1420,3.2003
0.74,98.44,277.33,406.17,91.164,1420.2,3.199
0.745,99.822,279.36,406.36,92.502,1420.5,3.1977
0.75,101.22,281.39,406.56,93.848,1420.7,3.1963
0.755,102.62,283.42,406.76,95.207,1421,3.195
0.76,104.03,285.46,406.96,96.574,1421.2,3.1936
0.765,105.45,287.49,407.16,97.953,1421.4,3.1923
0.77,106.89,289.53,407.36,99.343,1421.7,3.1909
0.775,108.33,291.57,407.55,100.74,1421.9,3.1896
0.78,109.78,293.61,407.75,102.15,1422.1,3.1882
0.785,111.25,295.65,407.95,103.57,1422.4,3.1869
0.79,112.72,297.69,408.15,105,1422.6,3.1855
0.795,114.2,299.73,408.34,106.44,1422.9,3.1842
0.8,115.7,301.77,408.54,107.89,1423.1,3.1828
0.805,117.2,303.82,408.74,109.35,1423.3,3.1815
0.81,118.72,305.86,408.94,110.83,1423.6,3.1801
0.815,120.24,307.91,409.13,112.31,1423.8,3.1788
0.82,121.77,309.95,409.33,113.8,1424.1,3.1774
0.825,123.32,312,409.53,115.31,1424.3,3.176
0.83,124.87,314.05,409.72,116.82,1424.5,3.1747
0.835,126.44,316.1,409.92,118.35,1424.8,3.1733
0.84,128.01,318.15,410.12,119.88,1425,3.172
0.845,129.6,320.2,410.31,121.43,1425.3,3.1706
0.85,131.19,322.25,410.51,122.98,1425.5,3.1693
0.855,132.8,324.31,410.71,124.55,1425.7,3.1679
0.86,134.41,326.36,410.9,126.13,1426,3.1666
0.865,136.04,328.42,411.1,127.72,1426.2,3.1652
0.87,137.68,330.47,411.29,129.31,1426.4,3.1639
0.875,139.32,332.53,410.35,130.92,1426.7,3.1625
0.88,140.98,334.58,410.53,132.54,1426.9,3.1612
0.885,142.64,336.63,410.72,134.16,1427.2,3.1598
0.89,144.32,338.69,410.9,135.8,1427.4,3.1584
0.895,146.01,340.74,411.08,137.44,1427.6,3.1571
0.9,147.7,342.8,411.27,139.1,1427.9,3.1557
0.905,149.41,344.86,411.45,140.77,1428.1,3.1544
0.91,151.13,346.91,411.63,142.45,1428.4,3.153
0.915,152.86,348.97,411.81,144.14,1428.6,3.1517
0.92,154.59,351.03,412,145.84,1428.8,3.1503
0.925,156.34,353.09,412.18,147.54,1429.1,3.149
0.93,158.1,355.16,412.37,149.27,1429.3,3.1476
0.935,159.87,357.22,412.55,151,1429.6,3.1462
0.94,161.65,359.28,412.73,152.74,1429.8,3.1449
0.945,163.44,361.35,412.91,154.49,1430,3.1435
0.95,165.23,363.41,413.09,156.26,1430.3,3.1422
0.955,167.04,365.48,413.28,158.03,1430.5,3.1408
0.96,168.86,367.55,413.46,159.82,1430.7,3.1395
0.965,170.69,369.61,413.64,161.61,1431,3.1381
0.97,172.53,371.68,413.82,163.42,1431.2,3.1367
0.975,174.38,373.75,414,165.23,1431.5,3.1354
0.98,176.24,375.82,414.19,167.06,1431.7,3.134
0.985,178.11,377.9,414.36,168.9,1431.9,3.1327
0.99,180,379.97,414.54,170.75,1432.2,3.1313
0.995,181.89,382.04,414.72,172.61,1432.4,3.1299
1,183.79,384.12,414.9,174.48,1432.7,3.1286
1.005,185.7,386.19,415.08,176.36,1432.9,3.1272
1.01,187.62,388.27,414.92,178.25,1432.1,3.1259
1.015,189.55,390.34,414.75,180.15,1431.2,3.1245
1.02,191.5,392.41,414.58,182.06,1430.4,3.1231
1.025,193.45,394.49,414.41,183.98,1429.5,3.1218
1.03,195.41,396.56,414.24,185.91,1428.7,3.1204
1.035,197.39,398.63,414.09,187.84,1427.8,3.1191
1.04,199.37,400.7,413.91,189.79,1427,3.1177
1.045,201.36,402.77,413.74,191.74,1426.1,3.1164
1.05,203.37,404.83,413.57,193.7,1425.3,3.115
1.055,205.38,406.9,413.4,195.68,1424.5,3.1137
1.06,207.41,408.97,413.22,197.66,1423.6,3.1123
1.065,209.44,411.03,413.06,199.65,1422.8,3.111
1.07,211.49,413.1,412.89,201.65,1421.9,3.1096
1.075,213.54,415.16,412.71,203.66,1421.1,3.1083
1.08,215.61,417.22,412.54,205.67,1420.2,3.1069
1.085,217.68,419.28,412.36,207.69,1419.4,3.1056
1.09,219.77,421.34,412.2,209.73,1418.5,3.1042
1.095,221.86,423.41,412.02,211.77,1417.7,3.1029
1.1,223.97,425.46,411.84,213.83,1416.9,3.1015
1.105,226.09,427.52,411.67,215.89,1416,3.1002
1.11,228.21,429.58,411.49,217.96,1415.2,3.0988
1.115,230.35,431.64,411.32,220.04,1414.3,3.0975
1.12,232.5,433.69,411.14,222.13,1413.5,3.0962
1.125,234.65,435.75,410.96,224.22,1412.6,3.0948
1.13,236.82,437.8,410.78,226.32,1411.8,3.0935
1.135,239,439.85,410.6,228.44,1411,3.0921
1.14,241.19,441.91,410.42,230.56,1410.1,3.0908
1.145,243.38,443.96,410.25,232.7,1409.3,3.0895
1.15,245.59,446.01,410.07,234.84,1408.4,3.0881
1.155,247.81,448.06,409.89,236.98,1407.6,3.0868
1.16,250.04,450.11,409.7,239.14,1406.7,3.0854
1.165,252.28,452.15,409.52,241.31,1405.9,3.0841
1.17,254.53,454.2,409.35,243.48,1405,3.0828
1.175,256.78,456.25,409.17,245.66,1404.2,3.0814
1.18,259.05,458.29,408.98,247.85,1403.4,3.0801
1.185,261.33,460.33,408.79,250.05,1402.5,3.0788
1.19,263.62,462.38,408.61,252.26,1401.7,3.0775
1.195,265.92,464.42,408.42,254.48,1400.8,3.0761
1.2,268.23,466.46,408.25,256.7,1400,3.0748
1.205,270.55,468.5,408.06,258.94,1399.1,3.0735
1.21,272.88,470.54,407.87,261.18,1398.3,3.0721
1.215,275.22,472.58,407.68,263.43,1397.4,3.0708
1.22,277.57,474.62,407.49,265.69,1396.6,3.0695
1.225,279.93,476.65,407.32,267.95,1395.8,3.0682
1.23,282.3,478.69,407.13,270.23,1394.9,3.0668
1.235,284.68,480.72,406.94,272.52,1394.1,3.0655
1.24,287.07,482.76,406.75,274.81,1393.2,3.0642
1.245,289.47,484.79,406.56,277.11,1392.4,3.0629
1.25,291.88,486.82,406.36,279.42,1391.5,3.0615
1.255,294.3,488.85,406.19,281.74,1390.7,3.0602
1.26,296.73,490.88,406,284.07,1389.8,3.0589
1.265,299.17,492.91,405.8,286.39,1389,3.0576
1.27,301.62,494.94,405.61,288.74,1388.2,3.0563
1.275,304.08,496.97,405.41,291.09,1387.3,3.055
1.28,306.55,498.99,405.24,293.45,1386.5,3.0536
1.285,309.03,501.02,405.04,295.81,1385.6,3.0523
1.29,311.52,503.04,404.84,298.19,1384.8,3.051
1.295,314.02,505.07,404.65,300.57,1383.9,3.0497
1.3,316.53,507.09,404.45,302.96,1383.1,3.0484
1.305,319.05,509.11,404.25,305.36,1382.3,3.0471
1.31,321.58,511.13,404.07,307.77,1381.4,3.0458
1.315,324.12,513.15,403.87,310.18,1380.6,3.0444
1.32,326.67,515.17,403.67,312.6,1379.7,3.0431
1.325,329.23,517.18,403.47,315.03,1378.9,3.0418
1.33,331.8,519.2,403.27,317.47,1378,3.0405
1.335,334.38,521.22,403.1,319.92,1377.2,3.0392
1.34,336.97,523.23,402.89,322.38,1376.3,3.0379
1.345,339.57,525.24,402.69,324.84,1375.5,3.0366
1.35,342.18,527.26,402.49,327.3,1374.7,3.0353
1.355,344.8,529.27,402.29,329.79,1373.8,3.034
1.36,347.43,531.28,402.08,332.27,1373,3.0327
1.365,350.07,533.29,401.9,334.77,1372.1,3.0314
1.37,352.72,535.3,401.7,337.27,1371.3,3.0301
1.375,355.38,537.3,401.49,339.77,1370.4,3.0288
1.38,358.05,539.31,401.29,342.3,1369.6,3.0275
1.385,360.73,541.32,401.08,344.82,1368.7,3.0262
1.39,363.42,543.32,400.9,347.35,1367.9,3.0249
1.395,366.12,545.32,400.7,349.89,1367.1,3.0236
1.4,368.83,547.33,400.49,352.44,1366.2,3.0223
1.405,371.55,549.33,400.28,354.99,1365.4,3.021
1.41,374.28,551.33,400.07,357.55,1364.5,3.0197
1.415,377.02,553.33,399.86,360.13,1363.7,3.0184
1.42,379.77,555.33,399.68,362.7,1362.8,3.0171
1.425,382.53,557.32,399.47,365.29,1362,3.0158
1.43,385.3,559.32,399.26,367.88,1361.1,3.0145
1.435,388.08,561.32,399.05,370.49,1360.3,3.0132
1.44,390.86,563.31,398.84,373.09,1359.5,3.0119
1.445,393.66,565.3,398.66,375.71,1358.6,3.0107
1.45,396.47,567.29,398.45,378.33,1357.8,3.0094
1.455,399.29,569.29,398.23,380.97,1356.9,3.0081
1.46,402.12,571.28,398.02,383.6,1356.1,3.0068
1.465,404.96,573.27,397.8,386.24,1355.2,3.0055
1.47,407.8,575.25,397.59,388.9,1354.4,3.0042
1.475,410.66,577.24,397.41,391.55,1353.5,3.0029
1.48,413.53,579.23,397.19,394.22,1352.7,3.0016
1.485,416.41,581.21,396.98,396.89,1351.9,3.0004
1.49,419.29,583.19,396.76,399.58,1351,2.9991
1.495,422.19,585.18,396.54,402.27,1350.2,2.9978
1.5,425.1,587.16,396.33,404.97,1349.3,2.9965
1.505,428.01,589.14,396.14,407.67,1348.5,2.9952
1.51,430.94,591.12,395.93,410.38,1347.6,2.994
1.515,433.88,593.1,395.71,413.1,1346.8,2.9927
1.52,436.82,595.08,395.49,415.82,1346,2.9914
1.525,439.78,597.05,395.27,418.55,1345.1,2.9901
1.53,442.74,599.03,395.09,421.29,1344.3,2.9889
1.535,445.72,601,394.86,424.04,1343.4,2.9876
1.54,448.7,602.97,394.64,426.79,1342.6,2.9863
1.545,451.7,604.95,394.42,429.55,1341.7,2.985
1.55,454.7,606.92,394.2,432.32,1340.9,2.9838
1.555,457.72,608.89,393.98,435.09,1340,2.9825
1.56,460.74,610.86,393.79,437.87,1339.2,2.9812
1.565,463.78,612.82,393.57,440.66,1338.4,2.9799
1.57,466.82,614.79,393.35,443.46,1337.5,2.9787
1.575,469.87,616.76,393.12,446.26,1336.7,2.9774
1.58,472.94,618.72,392.9,449.07,1335.8,2.9761
1.585,476.01,620.68,392.71,451.89,1335,2.9749
1.59,479.09,622.65,392.49,454.71,1334.1,2.9736
1.595,482.18,624.61,392.26,457.54,1333.3,2.9723
1.6,485.29,626.57,392.04,460.38,1332.4,2.9711
1.605,488.4,628.53,391.81,463.22,1331.6,2.9698
1.61,491.52,630.48,391.21,466.07,1329.6,2.9685
1.615,494.65,632.44,390.65,468.91,1327.7,2.9673
1.62,497.79,634.39,390.05,471.77,1325.7,2.966
1.625,500.94,636.33,389.44,474.63,1323.8,2.9648
1.63,504.1,638.28,388.84,477.49,1321.8,2.9635
1.635,507.27,640.22,388.23,480.36,1319.9,2.9623
