Time,X,Y,Z,VX,VY,VZ,Euler 0,Euler 1,Euler 2,Euler 3,Omega 1,Omega 2,Omega 3,Latitude,Longitude,Inclination,Heading,Ax,Ay,Az,Alpha 1,Alpha 2,Alpha 3
10,-127.42381349659928,-374.22599979626057,1119.529450683452,-11.132982162386659,-35.29934889422518,68.16949485362525,-0.014072847500565531,0.1429259828894446,0.33369045212760473,-0.931678498753135,-0.06315390569272993,0.03216201274771616,4.0231417372790675e-13,55.42959862107161,-5.702823904426382,90,181,0.936714274520996,2.0784990891875985,-12.124316292201078,-0.0133830882875697,0.005164765114467879,-9.58148532947856e-13
11,-138.1073002116782,-408.5330205278603,1181.751008609625,-10.252378783199948,-33.36241642405783,56.37906272973153,-0.014836003552051183,0.1595821565003642,0.36608917601942015,-0.9166746734462051,-0.07784468995969854,0.03774809646847043,-2.2312712987735048e-13,55.42928977036763,-5.7029933777749315,90,181,0.8267221340648809,1.7958057577157807,-11.487869764761566,-0.012997170960941853,0.005653053036208391,4.712979750515505e-13
12,-147.96262952618085,-441.03795936564615,1232.4764041214141,-9.473975197009562,-31.684714110058458,45.15865412309181,-0.01552068194588759,0.17869844341811794,0.4041591539833566,-0.8969289978976578,-0.09226562715239323,0.043954613458738453,-1.8549221769985927e-12,55.428997135758266,-5.703149715483343,90,181,0.7322821027516662,1.5703008035882529,-10.96785414993029,-0.017074196437360946,0.007205635452164794,3.4895884047531064e-12
13,-157.07757789448826,-471.97526509883403,1272.2235483138033,-8.764674406442717,-30.225453321342457,34.403870688182685,-0.01647086533557013,0.20122054568024297,0.44817065249839927,-0.8708515615562761,-0.10820471898996906,0.05555506156016187,2.1166692868341726e-13,55.42871854570396,-5.7032943602494495,90,181,0.6718244038565331,1.3623680993204128,-10.556490191766999,-0.016552345071172075,0.011841790016968336,-3.5721850413933544e-13
14,-165.5254674442464,-501.54393562806393,1301.4081623202305,-8.148334198241658,-28.935633380536164,24.02103050465645,-0.017891763870732158,0.2276548536716079,0.4979865095381551,-0.8365781410159951,-0.12863032667115634,0.061952688606269554,1.830774183052904e-12,55.428452316781154,-5.703428390847252,90,181,0.5710989216204292,1.2182357219937412,-10.222721817144787,-0.022625136876115403,0.003453247612183954,-2.808070191663845e-12
15,-173.3963359696091,-529.8945611263987,1320.3632195969699,-7.599959381368386,-27.789017288277456,13.931293649830565,-0.017954054003735388,0.2550960986745461,0.5541896784645495,-0.7921354676018815,-0.14924567037727074,0.06735191275008305,2.809004623610423e-12,55.428197033778595,-5.70355328038258,90,181,0.5294636748488103,1.0791977770262553,-9.969013300003173,-0.017541986705689763,0.007440643338649111,-3.988363796088403e-12
16,-180.73900152236035,-557.1617965284951,1329.344239351429,-7.093592561096228,-26.760886536997536,4.062470040596835,-0.017500496870150695,0.2835778642513411,0.6135705916698524,-0.7367566816533855,-0.1634683336813234,0.07357466865255266,-2.163612325165572e-12,55.42795155777494,-5.703669744012376,90,181,0.48072966812197393,0.9863530061081394,-9.777220898392832,-0.010895366135879993,0.0032277201185079,2.9223019012187247e-12
17,-187.5997572529927,-583.438556790862,1328.5423139410927,-6.639128007965894,-25.810297839596494,-5.641698353935014,-0.016299826009749326,0.3110322017083759,0.671994224964817,-0.671871908579167,-0.16983848128929788,0.07272376409950825,-6.188206772209688e-13,55.42771494471351,-5.70377860775087,90,181,-0.12152504938126923,-0.2102000554273915,-10.165572195951832,-0.0005301197364672174,-0.004778094208100754,8.546424272610298e-13
18,-192.81447314892898,-606.3283690393525,1319.3952373760562,-2.33191152902443,-16.993372047284836,-10.816819351293315,-0.01532603829568339,0.3214563149742099,0.6950918350851517,-0.6428672110304767,-0.16903410345616654,0.07050943240432636,-3.548394655788315e-13,55.427509067980274,-5.703861147449281,90,181,5.858310305518982,12.002085887675857,-2.098443228782387,8.353078241968444e-07,-1.052124376823703e-06,8.18759768993825e-17
19,-192.69009546342363,-618.2743111881141,1307.4952857643557,2.19396019091977,-7.677423800949913,-13.007379433128913,-0.015326038445481712,0.32145631356951865,0.6950918319415939,-0.642867215087349,-0.16903410369134333,0.0705094327474666,-3.5483949492198643e-13,55.42740162732797,-5.703859069629565,90,181,3.5048981190346056,7.261485175166246,-2.245820562873557,-2.4645206321114296e-09,3.1042235677878012e-09,-2.415696686868998e-19
